,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
46,2016,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony,2016-05-27,214480,75,0.103,0.803,0.585,3.94e-06,0.0644,-5.861,0.0432,105.017,4
47,2016,Hear Me Now,Hear Me Now (feat. Zeeba),Alok,2016-10-21,194840,75,0.546,0.778,0.463,0.00289,0.0731,-7.603,0.0389,121.999,4
48,2016,Starving,Starving,Hailee Steinfeld,2016-07-22,181880,75,0.378,0.728,0.616,0.0,0.105,-4.238,0.0645,99.962,4
49,2016,Shout Out to My Ex,Glory Days (Expanded Edition),Little Mix,2016-11-18,246240,75,0.0242,0.773,0.747,8.99e-06,0.109,-4.061,0.0885,126.014,4
50,2016,When We Were Young,25,Adele,2015-11-20,290900,74,0.303,0.376,0.595,0.0,0.095,-5.936,0.0496,144.361,4
51,2016,Stole the Show,Cloud Nine,Kygo,2016-05-13,223186,74,0.271,0.64,0.635,0.0,0.319,-7.565,0.226,100.034,4
52,2016,Too Good,Views,Drake,2016-05-06,263373,74,0.0489,0.794,0.653,4.88e-05,0.1,-7.839,0.104,117.996,4
53,2016,When You Love Someone,Chapters,James TW,2019-04-26,216560,74,0.263,0.681,0.453,0.0,0.0543,-6.09,0.0278,125.772,4
54,2016,Unsteady,VHS,X Ambassadors,2015-06-30,193546,74,0.178,0.389,0.665,0.000732,0.116,-6.169,0.0644,117.055,4
55,2016,"Sit Still, Look Pretty","Sit Still, Look Pretty",Daya,2016-10-07,207761,73,0.286,0.846,0.734,8.27e-05,0.425,-3.601,0.108,90.98,4
56,2016,Somebody Else,"I like it when you sleep, for you are so beautiful yet so unaware of it",The 1975,2016-02-26,347520,73,0.195,0.61,0.788,0.0142,0.153,-5.724,0.0585,101.045,4
57,2016,History,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,187426,73,0.0352,0.655,0.699,0.0,0.064,-4.421,0.0493,86.704,4
58,2016,Never Forget You,So Good,Zara Larsson,2017-03-17,213427,73,0.00312,0.583,0.732,9.86e-06,0.269,-5.728,0.0457,145.992,4
59,2016,Roses,Roses,The Chainsmokers,2015-06-16,226738,73,0.0435,0.713,0.802,0.00377,0.309,-7.055,0.0561,100.001,4
60,2016,Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,73,0.0355,0.688,0.533,3.48e-06,0.172,-8.363,0.0865,164.069,4
61,2016,Lost Boy,Lost Boy,Ruth B.,2015-08-21,275280,72,0.965,0.71,0.0565,0.0,0.0889,-15.099,0.0534,123.994,4
62,2016,Hurts So Good,Leave It Beautiful (Complete),Astrid S,2021-03-05,208728,72,0.0774,0.672,0.625,0.0,0.0934,-5.068,0.0468,120.038,4
63,2016,Fast Car,Blue,Jonas Blue,2018-11-09,212424,72,0.469,0.672,0.578,0.0,0.312,-6.621,0.0569,113.945,4
64,2016,I Know What You Did Last Summer,Handwritten,Shawn Mendes,2015-04-14,223853,72,0.102,0.687,0.761,0.0,0.147,-4.582,0.0876,113.939,4
65,2016,Alone,Alone,Marshmello,2016-05-13,273802,72,0.0241,0.631,0.953,0.0155,0.108,-3.739,0.0343,141.99,4
